,Date,PM25
0,2024-01-01,16.8
1,2024-01-02,13.13
2,2024-01-03,15.3
3,2024-01-04,17.24
4,2024-01-05,17.72
5,2024-01-06,20.6
6,2024-01-07,16.54
7,2024-01-08,14.72
8,2024-01-09,14.84
9,2024-01-10,14.52
10,2024-01-11,15.11
11,2024-01-12,19.24
12,2024-01-13,21.06
13,2024-01-14,23.13
14,2024-01-15,16.61
15,2024-01-16,19.32
16,2024-01-17,16.3
17,2024-01-18,15.42
18,2024-01-19,17.58
19,2024-01-20,22.58
20,2024-01-21,26.16
21,2024-01-22,16.92
22,2024-01-23,11.86
23,2024-01-24,13.93
24,2024-01-25,13.19
25,2024-01-26,16.16
26,2024-01-27,16.53
27,2024-01-28,16.98
28,2024-01-29,16.9
29,2024-01-30,16.15
30,2024-01-31,17.0
31,2024-02-01,20.02
32,2024-02-02,21.1
33,2024-02-03,17.22
34,2024-02-04,19.92
35,2024-02-05,25.85
36,2024-02-06,20.19
37,2024-02-07,20.66
38,2024-02-08,21.04
39,2024-02-09,22.92
40,2024-02-10,20.0
41,2024-02-11,20.05
42,2024-02-12,21.65
43,2024-02-13,19.78
44,2024-02-14,18.28
45,2024-02-15,17.63
46,2024-02-16,16.82
47,2024-02-17,18.62
48,2024-02-18,18.75
49,2024-02-19,14.64
50,2024-02-20,16.07
51,2024-02-21,15.91
52,2024-02-22,13.6
53,2024-02-23,12.58
54,2024-02-24,11.86
55,2024-02-25,15.94
56,2024-02-26,18.84
57,2024-02-27,16.52
58,2024-02-28,18.56
59,2024-02-29,18.83
60,2024-03-01,19.8
61,2024-03-02,19.83
62,2024-03-03,17.97
63,2024-03-04,19.13
64,2024-03-05,22.5
65,2024-03-06,24.61
66,2024-03-07,22.72
67,2024-03-08,22.71
68,2024-03-09,17.23
69,2024-03-10,22.96
